"Date/Time","Lat","Lon","Base"
"7/1/2014 7:27:00",40.7024,-74.0127,"B02512"
"7/1/2014 7:27:00",40.717,-74.0119,"B02512"
"7/1/2014 7:28:00",40.7897,-73.9793,"B02512"
"7/1/2014 7:30:00",40.7369,-73.9888,"B02512"
"7/1/2014 7:33:00",40.7844,-73.9553,"B02512"
"7/1/2014 7:33:00",40.6814,-74.0082,"B02512"
"7/1/2014 7:33:00",40.8527,-74.012,"B02512"
"7/1/2014 7:34:00",40.7438,-73.9888,"B02512"
"7/1/2014 7:34:00",40.7181,-73.9894,"B02512"
"7/1/2014 7:34:00",40.7673,-73.9862,"B02512"
"7/1/2014 7:38:00",40.7853,-73.9538,"B02512"
"7/1/2014 7:38:00",40.7691,-73.96,"B02512"
"7/1/2014 7:38:00",40.7367,-73.9789,"B02512"
"7/1/2014 7:39:00",40.755,-73.9765,"B02512"
"7/1/2014 7:39:00",40.7782,-73.959,"B02512"
"7/1/2014 7:40:00",40.7232,-74.0025,"B02512"
"7/1/2014 7:41:00",40.7347,-74.0005,"B02512"
"7/1/2014 7:41:00",40.7588,-73.9861,"B02512"
"7/1/2014 7:42:00",40.7225,-74.0053,"B02512"
"7/1/2014 7:42:00",40.759,-73.9858,"B02512"
"7/1/2014 7:42:00",40.7285,-73.9855,"B02512"
"7/1/2014 7:44:00",40.7462,-73.9835,"B02512"
"7/1/2014 7:44:00",40.7434,-73.9935,"B02512"
"7/1/2014 7:45:00",40.7779,-73.9786,"B02512"
"7/1/2014 7:45:00",40.7378,-74.0082,"B02512"
"7/1/2014 7:49:00",40.7677,-73.9915,"B02512"
"7/1/2014 7:49:00",40.7299,-73.9884,"B02512"
"7/1/2014 7:50:00",40.7715,-73.9472,"B02512"
"7/1/2014 7:50:00",40.7436,-74.006,"B02512"
"7/1/2014 7:52:00",40.7673,-73.9536,"B02512"
"7/1/2014 7:55:00",40.7976,-73.9708,"B02512"
"7/1/2014 8:00:00",40.7445,-73.9948,"B02512"
"7/1/2014 8:01:00",40.7844,-73.9486,"B02512"
"7/1/2014 8:02:00",40.7836,-73.9709,"B02512"
"7/1/2014 8:03:00",40.7469,-73.9926,"B02512"
"7/1/2014 8:03:00",40.7254,-74.0054,"B02512"
"7/1/2014 8:04:00",40.7597,-73.9803,"B02512"
"7/1/2014 8:05:00",40.724,-73.9878,"B02512"
"7/1/2014 8:05:00",40.724,-73.9878,"B02512"
"7/1/2014 8:08:00",40.7243,-73.9854,"B02512"
"7/1/2014 8:09:00",40.715,-74.0158,"B02512"
"7/1/2014 8:10:00",40.7825,-73.9729,"B02512"
"7/1/2014 8:10:00",40.7404,-73.9794,"B02512"
"7/1/2014 8:11:00",40.7874,-73.9704,"B02512"
"7/1/2014 8:12:00",40.6603,-73.9603,"B02512"
"7/1/2014 8:13:00",40.7237,-73.9854,"B02512"
"7/1/2014 8:16:00",40.7439,-74.0063,"B02512"
"7/1/2014 8:17:00",40.7334,-74.0047,"B02512"
"7/1/2014 8:17:00",40.7474,-73.9767,"B02512"
"7/1/2014 8:17:00",40.7652,-73.9615,"B02512"
"7/1/2014 8:17:00",40.7219,-74.0118,"B02512"
"7/1/2014 8:21:00",40.7513,-73.9762,"B02512"
"7/1/2014 8:23:00",40.7302,-73.9796,"B02512"
"7/1/2014 8:26:00",40.7411,-73.9935,"B02512"
"7/1/2014 8:27:00",40.7828,-73.9532,"B02512"
"7/1/2014 8:27:00",40.7325,-73.9969,"B02512"
"7/1/2014 8:27:00",40.7557,-73.9736,"B02512"
"7/1/2014 8:27:00",40.7557,-73.9736,"B02512"
"7/1/2014 8:30:00",40.7442,-73.989,"B02512"
"7/1/2014 8:30:00",40.7336,-73.9762,"B02512"
"7/1/2014 8:31:00",40.7501,-73.9911,"B02512"
